transcript_id,time_of_interaction,domain,intent,reason_for_call
6794-8660-4606-3216,2025-10-03 20:22:00,E-commerce & Retail,Delivery Investigation,"Customer James Bailey reported a smart watch showing as delivered but never received, requiring delivery investigation and replacement shipment."
7034-5430-2980-5483,2025-09-17 13:33:00,Healthcare Services,Escalation - Repeated Service Failures,Customer Jerry Chavez escalated to supervisor after experiencing multiple failed mobile app login and poor service recovery attempts over three weeks.
1846-5500-2990-8975,2025-04-24 15:31:00,Insurance,Fraud Alert Investigation,"Customer Kyle Davis received fraud alert for unauthorized $356.82 charge in New York, requiring card cancellation, transaction reversal, and new card issuance."
1616-8531-3291-5075,2025-12-02 19:59:00,Banking & Finance,Fraud Alert Investigation,"Customer Nancy Phillips received fraud alert for unauthorized $1,245.00 charge in Florida, requiring card cancellation, transaction reversal, and new card issuance."
7441-4348-3458-2384,2025-04-01 09:04:00,Telecommunications,Account Access Issues,"Customer Nicholas Flores experienced access issues with customer dashboard due to security hold triggered by access code reset, requiring identity verification and manual hold removal."
1629-4503-4766-7087,2025-03-24 14:55:00,Technology Support,Service Interruptions,"Customer Anthony Patel experienced internet outage for three days due to service node damage, requiring service restoration timeline and temporary workaround solution."
3146-8438-3705-5746,2025-03-28 20:55:00,E-commerce & Retail,"Multiple Issues - Fraud, Account & Security","Customer Richard Lopez reported fraudulent $711.50 charge in Nevada, updated phone number, and enabled two-factor authentication."
2801-6816-9124-1355,2025-10-22 13:14:00,Banking & Finance,Escalation - Unauthorized Account Closure,Customer Angela Walker demanded executive intervention after bank incorrectly closed active account without notification.
3119-8031-4703-9428,2025-11-03 13:36:00,Healthcare Services,Appointment Scheduling,"Patient Michael Davis arrived for a scheduled appointment that was not found in the system, requiring immediate investigation and resolution."
8208-2068-2030-5922,2025-08-20 09:16:00,E-commerce & Retail,Multiple Issues - Returns & Account Inquiries,"Customer Ethan Martin needed assistance with damaged glass vase return/replacement, account email update, and discount code issue resolution."
6979-7103-8775-2134,2025-07-20 11:45:00,Technology Support,Service Interruptions,"Customer James Chavez experienced phone service outage for three days due to network switch damage, requiring service restoration timeline and temporary workaround solution."
